id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,population,"time_to_arrest,hours",severity_score,day_or_night
13775610,JJ181761,2025-03-14 22:03:00,051XX S CALUMET AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,True,False,231,2,3,40,24,1179363.0,1871074.0,2025,2025-03-22 15:41:01,41.801513039,-87.617733588,"
,  
(41.801513039, -87.617733588)",70000,185.63361111111112,0.0,night
13775586,JJ181764,2025-03-14 22:01:00,050XX S PAULINA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),False,False,931,9,20,61,14,1165862.0,1871296.0,2025,2025-03-22 15:41:01,41.802420002,-87.667240429,"
,  
(41.802420002, -87.667240429)",240000,,6.0,night
13775789,JJ182039,2025-03-14 22:00:00,052XX W 54TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,814,8,23,56,14,1142498.0,1868308.0,2025,2025-03-22 15:41:01,41.794685335,-87.753001304,"
,  
(41.794685335, -87.753001304)",270000,,6.0,night
13778646,JJ181796,2025-03-14 22:00:00,070XX S JEFFERY BLVD,495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,SIDEWALK,False,False,332,3,5,43,04B,1190768.0,1858477.0,2025,2025-03-22 15:41:01,41.766677799,-87.576314575,"
,  
(41.766677799, -87.576314575)",90000,,10.0,night
13775564,JJ181748,2025-03-14 22:00:00,024XX W ADAMS ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,False,False,1125,11,27,28,15,1160199.0,1898995.0,2025,2025-03-22 15:41:01,41.878547659,-87.687245,"
,  
(41.878547659, -87.687245)",310000,,0.0,night
13775956,JJ181773,2025-03-14 22:00:00,072XX S YATES BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,334,3,7,43,08B,1193465.0,1857322.0,2025,2025-03-22 15:41:01,41.763442831,-87.56646696,"
,  
(41.763442831, -87.56646696)",110000,,10.0,night
13775644,JJ181762,2025-03-14 21:56:00,008XX S JEFFERSON ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,124,1,28,28,15,1172449.0,1896603.0,2025,2025-03-22 15:41:01,41.871721989,-87.642336511,"
,  
(41.871721989, -87.642336511)",320000,185.75027777777777,0.0,night
13775653,JJ181917,2025-03-14 21:55:00,044XX W WASHINGTON BLVD,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,RESIDENCE,False,False,1113,11,28,26,24,1146810.0,1900126.0,2025,2025-03-22 15:41:01,41.881917313,-87.736378115,"
,  
(41.881917313, -87.736378115)",320000,,0.0,night
13775667,JJ181873,2025-03-14 21:45:00,063XX S YALE AVE,320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False,722,7,20,68,3,1175585.0,1863128.0,2025,2025-03-22 15:41:01,41.779793875,-87.631826613,"
,  
(41.779793875, -87.631826613)",240000,,10.0,night
13775616,JJ181765,2025-03-14 21:45:00,015XX N CLAREMONT AVE,820,THEFT,$500 AND UNDER,STREET,False,False,1424,14,1,24,6,1160460.0,1910231.0,2025,2025-03-22 15:41:01,41.909374789,-87.685975384,"
,  
(41.909374789, -87.685975384)",50000,,5.0,night
